question,question_year,option_1,option_2,option_3,option_4,short_answer
Nitrogen is absorbed by crops in the form of,2026,nitrate ion,ammonia gas,nitric acid,uric acid,
An underground source of water for irrigation is,2026,river,stream,dam,borehole,
"If the expected yield of rice is 2 tonnes per hectare and 20% of the crop was destroyed by birds on the field, calculate the expected quantity of rice grains harvested.",2026,100 kg,400 kg,"1,600 kg","2,400 kg",
Hulling is a post-harvest operation carried out in the processing of,2026,rice,potato,sugarcane,pepper,
The correct arrangement of crops in a good crop rotation system is,2026,yam → cassava → maize → soya bean,maize → yam → cassava→ soya bean,soya bean - maize → cassava → yam,cassava - maize → yam → soya bean,
The earliest expected date of harvesting the maize would be,2026,May 24,June 20,July 22,September 1,
A nutrient that would be supplied by groundnut in the intercropping system is,2026,magnesium,potassium,nitrogen,phosphorus,
"If the farmer applied liquid fertilizer to the maize plants, the appropriate method of application would be",2026,ring,side dressing,top dressing,foliar,
The illustrated management practice is,2026,staking,shading,mulching,rogueing,
Crops that could require the illustrated management practice are,2026,"oil palm, cowpea and coconut","pineapple, sweet potato and okro","tomato, cocoa and citrus","rubber, sugarcane and pepper",
An advantage of raising seedlings in the illustrated nursery is that it results in I. uniformity in growth of crops II. early maturity of crops III. reduced lodging of crops,2026,I and II only,I and III only,II and III only,"1, II and III",
The correct sequence in the processing of cocoa is,2026,breaking of pods → drying → fermentation → storage,fermentation → breaking of pods → drying → storage,breaking of pods → fermentation→ drying → storage,drying → fermentation→ breaking of pods → storage,
The recommended spacing for oil palm is,2026,12 m x 12 m x 12 m,9 m x 9 m x 9 m,6 m x 6 m x 6 m,2 mx 2 m x 2 m,
Forest regulations arc important in order to I. protect the ecosystem II. reduce desert encroachment III. promote sustainable products,2026,I and II only,I and III only,II and III only,"1, II and III",
The common name of Tectona grandis is,2026,mahogany,breadfruit,teak,baobab,
Systemic herbicides could be used for controlling,2026,annual weeds and biennial weeds only,annual weeds and perennial weeds only,biennial weeds and perennial weeds only,"annual weeds, biennial weeds and perennial weeds",
Tristeza is a common disease of,2026,Coffea arabica,Gossypium spp,Ananas comosus,Citrus spp,
In which part of the alimentary canal of poultry is grit found?,2026,Crop,Proventriculus,Gizzard,Caecum,
Caponisation is usually carried out in,2026,bulls,cockerels,rams,boars,
Spermatogenesis occurs in the part labelled,2026,L,IL,III,IV,
The part that secretes prostate fluid is labelled,2026,1,II,III,IV,
The parts that would be of utmost interest to the farmer during castration are,2026,I and II,I and III,II and III,III and IV,
In which of the following poultry management systems could fertile eggs be produced? I. Deep litter II. Battery cage III. Free range,2026,I and II only,I and III only,II and III only,"I, II and III",
Coprophagy refers to the,2026,regurgitation and chewing of cud by goats,synthesis of vitamin B complex by cattle,feeding of nutritious feed to piglets out of the reach of the sow,reingestion of soft faces by rabbits,
"If fish meal contains 60% crude protein, what quantity of it should be fed to layers to supply 8 kg of protein?",2026,4.80 kg,7.50 kg,13.33 kg,48.00 kg,
Ad libitum feeding means feeds should be supplied to farm animals,2026,at regular intervals,during egg production,without restriction,for maintenance,
A disadvantage of artificial insemination in cattle is that,2026,signs of heat may be missed by the farmer,fewer animals could be serviced at the same time,it increases the cost of feeding the bulls,it reduces the conception rate and calving interval,
Desilting of fish ponds helps to I. repair cracks in the pond II. control pond acidity III. reduce turbidity in ponds.,2026,I and II only,I and III only,II and III only,"I, Il and III",
Agricultural produce for which demand increases due to a rise in the income of the consumer is referred to as.,2026,substitute produce,inferior produce,luxury produce,complementary produce,
"Determine the cost price of a farm equipment that has a salvage value of ₦800,000.00, a useful life of 10 years and an annual depreciation of ₦300,000.00.",2026,"₦1,100,000.00","₦2,200,000.00","₦3,80,000.00","₦5,000,000.00",
Insurance premium is recorded in the,2026,balance sheet,output record,sales record,depreciation account,
"The equity of a farmer who has a liability of ₦200,000.00 and assets of ₦575,000.00 is.",2026,"₦200,000.00","₦375,000.00","₦575,000.00","₦775,000.00",
Extension methods that could be used to disseminate agricultural information to deaf but literate farmers are 1. radio II. field trip III. newspaper,2026,I and II only,I and III only,II and III only,"I, II and III",
