question,question_year,option_1,option_2,option_3,option_4,short_answer
"NOT DRAWN TO SCALE in the diagram, |PQ| = |PR| = |RS] and <RPS = 32^O, Find <QPR.",2026,72,52°,32°,64°,
∆MNP is an isosceles triangle with |MN|= |MP|=26 cm and |NP|=20 cm. Find the area of the triangle.,2026,180 cm²,240 cm²,260 cm²,220 cm²,
A cone has a base radius of 12 cm and height of 24 cm. The volume of the cone is equal to the volume of a cylindrical tank with a base radius 6 cm. Calculate the height of the tank.,2026,8 cm,16 cm,48 cm,32 cm,
"A variable Z varies directly as X and inversely as Y. If Z= 12 when X= 4 and Y= 5, find Z when X = 6 and Y = 45.",2026,(1)/(9),2,112.5,15,
A bag contains 20 green and a number of red identical balls. The probability of selecting at random a red ballis5 How many balls are in the bag?,2026,12,30,50,60,
The average speed of a car is 63 km/h. Express the spaced in m s^(-1).,2026,15.0 ms^1,17.5 ms^1,35.5 ms^1,30.0 m s^1. [2026/]36,
"Given that x: (3)/(4)= (1)/(2):(9)/(8), find value of x.",2026,(3)/(4),(1)/(3),(1)/(4),(1)/(5),
The roots of a quadratic equation are -(2)/(3) and -(1)/(4). Find the equation.,2026,12x²+ 11x+2 =0,12x^2-11x+2=0,12x2+ 11x-2 = 0,12²-11x-2=0,
The sum of the ages of 14 learners in a class is 168.A learner was added to the class and the mean age changed to 12.2. Calculate the age of the new learner.,2026,13,4,16,15,
The interior angle of a regular polygon is the same as its exterior angle. Find the sum of the interior angles.,2026,720°,360°,2°,4°,
"The expression ²+ 10x +18 can be written as (x + p)² + q, whore p and q are integers. Find the values of p and q.",2026,5 and 3,5 and 4,5 and -9,5 and -7,
"The result of increasing a quantity x by 400% is 60, Find the value of x.",2026,12,15,340,240,
A cuboid of length 25 cm and breadth 8 cm holds exactly 1 liter of water. Find the height of the cuboid.,2026,5 cm,6.cm,8 cm,7 cm,
"The mean of 3, 5, 3x and 2 is 4. Find the value of x. [IMAGE]",2026,2,3,6,4,
"NOT DRAWN TO SCALE in the diagram, O is the center of the circle PQR, |SQ| = |QR|and ˂PQR=68°. Calculate ˂PRS.",2026,34°,45°,68°,56°,
"A generator costs ₦ 82,000.00. It depreciates by 10% the first year and 5% the second year. Find the value after the second year.",2026,"₦ 70,110.00","₦ 71,100.00","₦ 78,300.00","₦ 73,800.00",
"The mean height of three groups consisting of 20, 16 and 14 students are 1.67 m, 1.50 m and 1.40 m respectively. Find the mean height of all the students.",2026,1.52 m,01.53 m,1.54 m,1.55 m,
A point Q is 6 km due north of P and R is 8 km due east of P. A bus travels on a straight route from Q to R at an average speed of 40 km/h. How long does it take to travel at that speed?,2026,10 minutes,5 minutes,30 minutes,20 minutes,
"If^(2-n) = x, find 2^n.",2026,–x,(1)/(x),-(1)/(x),x,
"A pilot flies from Lisbon to Kuala Lumpur on a bearing of 163°. If the pilot flew from Kuala Lumpur to Lisbon on the same route, find the bearing.",2026,017°,187°,343°,243,
