question,question_year,option_1,option_2,option_3,option_4,short_answer
The effect of greenhouse gases could be reduced by,2026,burning of wood,depletion of ozone layer,deforestation,planting of trees,
"When X was added to aqueous FeCl3, its color changed from reddish-brown to pale-green. X could be",2026,K2Cr207,Cl₂,MnO2,LiAIH4,
Consider the following redox half reaction equation: C2O42- +2H2O→2CO32- + 4H+ + Xe- The value of X is,2026,3,4,1,2,
An atom of chlorine could be converted to chloride ion by,2026,reduction,decomposition,ionization,oxidation,
Which of the following periodic properties increases from right to left in the periodic table?,2026,Electron affinity,Ionization energy,Atomic radius,Electronegativity,
Which of the following substances is a mixture?,2026,Dry ice,Brine,Quick lime,Gold,
Metallic solids are good conductors of electricity because,2026,of the absence of mobile electrons,of the presence of mobile electrons,they are positively charged,they are negatively charged,
Liquid X has a sour taste. The pH value of X is likely to be,2026,7,5,11,9,
The following orbitals present in a potassium atom contain electrons except.,2026,3d,4s,2p,3p,
"In the periodic table, an element with electronic configuration of 1s2 2s2 2p3 is in",2026,Period 2 and Group V,Period 2 and Group III,Period 3 and Group V,Period 3 and Group III,
Which of the following acids is most volatile when concentrated?,2026,H₂SO4,CH3COOH,HNO3,HCI,
X2+ is formed from X atom by,2026,losing two electrons,losing two protons,gaining two electrons,gaining two protons,
Potassium chloride may be used on farm lands because it,2026,reacts with salts in the soil to release ammonia,removes excess soil acidity,is essential for healthy plant growth,kills harmful bacteria,
