question,question_year,option_1,option_2,option_3,option_4,short_answer
Which of the following pairs of features are found in a limestone region? L Stalactite I1. Stack III. Stalagmite IV. Levee,2026,I and IV only,I and IIl only,Il and IV only,III and IV only,
Hot springs are usually associated with,2026,earthquake,faulting,folding,volcanicity,
Calculate the temperature at the peak of mountain whose height is 8000 meters when the temperature at the foot of the same mountain is 8°Cabove sea level.,2026,60°C,-44°C,52°C,44°C,
"When you observe a wind vane, the head of the arrow shows the",2026,speed of the wind during the day,direction from which the wind blows,duration of the wind,weight of the wind,
Air pressure at sea level is higher than at the top of a mountain because the air at the sea level,2026,originates from the sea,has greater weight,consists of lesser mixture of gases,has lesser weight,
Which of the following arrangements is the correct order of the various coastal features formed before a stack is finally produced?,2026,"Cave, headland, arch, stack","Headland, arch, cave, stack","Cave, arch, headland, stack","Headland, cave, arch, stack",
The semi-arid regions are often characterized by limited vegetation with,2026,thorny plants species,luxuriant evergreen trees,distinct layered canopy,single plant species,
Which of the following layers of the structure of the Earth is found immediately beneath the crust?,2026,Hydrosphere,Mantle,Core,Atmosphere,
Geysers are extrusive features produced,2026,faulting,folding,earthquake,volcanicity,
The farthest planet from the sun is,2026,Jupiter,Saturn,Neptune,Uranus,
The time at Naval Base located on longitude 105° E is 4:00 pm. What will be the time at Town W located on longitude 15° W if someone at the Naval Base wants to call a friend in Town W?,2026,10.00 pm,10:00 am,9:00 pm,9:00 am,
Which of the following is not a process of wave erosion?,2026,Deflation,Attrition,Corrosion,Hydraulic action,
The disasters caused by man to the environment are called,2026,environmental imbalance,environmental balance,environmental intervention,environmental hazards,
Which of the following pairs of characteristics are associated with igneous rocks? 1. Metamorphosed II. Stratified III. Originate from molten magma IV. Crystalline in appearance,2026,I and II only,II and III only,II and IV only,III and IV only,
Abrasion in arid and semi-arid regions involves the,2026,lifting and blowing of loose rock materials along the coastal area,wearing away of rock surfaces by the action of rock particles carried by wind,gradual rolling of large rock fragmentation on the ground,movement of coarse rock particles in series of hops,
What will be the temperature at the peak of a mountain which is 3000 meters above the sea level if the temperature at the foot of the same mountain which is 1000 meters above the sea level is 26°C?,2026,13°C,23°C,31 °C,39°C,
"Lota and Babo towns lie along the same meridian. If Lota and Babo are located on latitudes 47° N and 33° S respectively, what is the approximate distance in kilometers between the two towns?",2026,"1,554 kilometers 37. 38","4,440 kilometers","5,217 kilometers","8,880 kilometers",
Which of the following pairs of characteristics is common to most manufacturing industries in West Africa? 1. Sophisticated technology II. Labour intensive III. Diversified production line IV. Consumer goods oriented,2026,I and II only,Il and III only,II and IV only,I and III only,
An advantage of high population density is,2026,under-utilization of resources,availability of labour,less social amenities,high vehicular traffic,
The use of limestone in the process of smelting iron ore is for it to,2026,act as a flux to remove impurities from the iron ore,combine with rock waste to reduce heat,produce heat for melting iron ore during the day,speed up the process of steel making during the day,
Which of the following options best explains the function of entrepots? They,2026,act as ferry terminal for goods and passengers crossing narrow seas,"are ports where goods are imported, stored and re-exported to other countries",receive goods and passengers for their countries,are used as military base for defense purposes,
A typical example of a cottage industry is,2026,publishing industry,food processing industry,car assembly industry,wood carving industry,
Bush fallow system of farming ensures,2026,application of artificial fertilizers,mechanization of farmlands,farmland regains its fertility naturally,farms are managed by young women,
"Calculate the population density of country B if it has a population of 800 million and a total land area of 400,000 km²",2026,"20,000 persons per square kilometer","2,000 persons per square kilometer",500 persons per square kilometer,20 persons per square kilometer,
An example of a fossil fuel is,2026,granite,clay,coal,sandstone,
Which of the following is not a factor to be considered in establishing a fruit processing industry in Nigeria?,2026,Proximity to source of raw materials,Availability of capital,Ready market,Proximity to pipelines and ziplines,
Which of the following is a major environmental concern associated with hydroelectric power generation?,2026,Water pollution of neighboring communities,Air pollution and industrial waste,Habitat disruption and displacement,Soil erosion and earthquake,
"When a country's import exceeds its export, international trade is said to be",2026,favorable,unfavorable,balance,optimum,
Which of the following is not a factor which promotes the development of tourism in Tropical African countries?,2026,Abundance of wildlife,Good transportation system,Presence of beaches,Ineffective publicity,
Which of the following countries is a member of the Economic Community of West African States?,2026,Moгocco,Egypt,Togo,Chad,
The movement of people from a town to a village can best be described as,2026,rural-rural migration,urban-rural migration,urban-urban migration,rural-urban migration,
