question,question_year,option_1,option_2,option_3,option_4,short_answer
A pilot vote which is taken to ascertain what people think about an issue and how they will vote in an election is termed as,2026,straw vote,exit polls,referendum,opinion poll,
The impeachment process is a unique feature of the,2026,federal system,unitary system,parliamentary system,presidential system,
Which of the following options is a distinctive feature of capitalism?,2026,Restricted market,One-party system,Government monopoly,Consumer freedom,
The principle of Rule of Law is sustained where there is,2026,a judiciary protected from political pressures,a powerful police force,high investment in educational infrastructure,an upper chamber of parliament,
A common feature of constitutions in British West African colonies in the 1920s was the,2026,adoption of federal system for the colonies,introduction of the elective principle,granting of independence to West African states,abolishing of the chieftaincy institution,
An interest group is primarily concerned with,2026,particular needs of its members,the general welfare of the people,supporting government policies,the interest of the ruling class,
Which of the following officials of the legislature is not elected? The,2026,clerk,leader,speaker,deputy speaker,
The Economic Community of West African States (ECOWAS) has struggled to achieve a single currency since its establishment. Which of the following factors constitutes a major hindrance to the common monetary zone of ECOWAS?,2026,Fear of sanctions from the World Bank,Lack of political commitment among member countries,Threats from opposition political parties in member countries,Failure to establish a Central Bank,
"When civilian governments are removed in military coups, democracy suffers because",2026,traditional leaders are sidelined,media practitioners undermine transparency,representation of the people is limited,universities get closed,
One factor that negatively affects active participation in politics of democracies is.,2026,activities of religious groups,established classes,lack of trust in the government,vibrant political parties,
"Under the 1954 constitution, regional governments had greater control over certain matters. Which of the following options represents the main structural implication of this arrangement?",2026,Regional governments could legislate independently on residual matters,The central government became weaker than traditional rulers,The Governor-General lost his powers to the local government units,Nigeria became an independent state that was free from colonial rule,
The government of a few wealthy people in a state is referred to as,2026,monarchy,democracy,aristocracy,legitimacy,
Which of the following options is not an important condition for sustaining democracy?,2026,Efficient collection of taxes and levies,Empowerment of traditional authorities,Entrenchment of personal liberties,Strict enforcement of laws,
The influence of Nigeria's colonial past on its foreign policy is directly observed by its,2026,participation in peacekeeping activities,adoption of Western economic models,association with the United Nations,membership of the Commonwealth,
"One of the functions of the Executive Council in the British colonial administration was that, it",2026,recommended sanctions for erring chiefs,regulated the selection and installation of traditional rulers,settled disputes between ethnic groups,advised the governor on matters of policy,
Which of the following processes is a general means of acquiring citizenship across many countries?,2026,Emigration,Normalization,Renunciation,Naturalization,
Which of the following options is associated with political socialization?,2026,Military takeover of power,Free choice of political party,Transition to civilian rule,Transmission of political values,
A state in which a great majority of the people shares the same culture and are conscious of it is referred to as.,2026,federal state,stateless-nation,nation-state,nationless-state,
One disadvantage of a one-party system is that it.,2026,is too expensive to operate,may lead to dictatorship,does not support coalition governments,undermines economic growth,
Which of the following factors constitutes a major limitation to the Economic Community of West African States (ECOWAS) in carrying out peacekeeping operations?,2026,Lack of support from local communities,Limited funding and logistics,Unwillingness of rebel groups to contribute personnel,Absence of innovative strategies on conflict,
The success of a political party in a democracy greatly depends on,2026,widespread membership,recognition by the electoral management body,literacy level of supporters,financial status of its members,
A state government orders the arrest and detention of an activist. The activist is denied access to his family and lawyers. Which writ can be invoked by lawyers of the activist to compel the government to present the activist before a court of law?,2026,Certiorari,Mandamus,Prohibition,Habeas corpus,
"Public opinion is considered important in a democracy because, it",2026,eliminates the need to frequently conduct elections,allows leaders to formulate policies independently,ensures responsiveness of government policies,controls the negative influences of pressure groups,
One essential feature of a republican government is that; it,2026,promotes economic development,ensures popular representation,provides adequate security for citizens,decentralizes power to local governments,
Which of the following outcomes best reflects the success of nationalist movements in West Africa?,2026,Replacement of traditional leaders with technocrats,Extension of social services to rural areas,Abolition of the trans-Atlantic slave trade,Attainment of political self-government,
